"","ind","species","site","leaf","herb","herb_bin"
"1",1,2,3,1,10,1
"2",1,2,3,2,0,1
"3",1,2,3,3,2,1
"4",2,2,3,1,1,1
"5",2,2,3,2,0,1
"6",2,2,3,3,1,1
"7",3,2,3,1,0,0
"8",3,2,3,2,0,0
"9",3,2,3,3,0,0
"10",4,2,3,1,0,0
"11",4,2,3,2,0,0
"12",4,2,3,3,0,0
"13",5,2,3,1,0,1
"14",5,2,3,2,3,1
"15",5,2,3,3,20,1
"16",6,2,3,1,0,0
"17",6,2,3,2,0,0
"18",6,2,3,3,0,0
"19",7,2,3,1,0,0
"20",7,2,3,2,0,0
"21",7,2,3,3,0,0
"22",8,2,3,1,0,0
"23",8,2,3,2,0,0
"24",8,2,3,3,0,0
"25",9,2,3,1,0,0
"26",9,2,3,2,0,0
"27",9,2,3,3,0,0
"28",10,2,3,1,0,0
"29",10,2,3,2,0,0
"30",10,2,3,3,0,0
"31",11,2,3,1,1,1
"32",11,2,3,2,0,1
"33",11,2,3,3,0,1
"34",12,2,3,1,0,0
"35",12,2,3,2,0,0
"36",12,2,3,3,0,0
"37",13,2,3,1,1,1
"38",13,2,3,2,1,1
"39",13,2,3,3,1,1
"40",14,2,3,1,1,1
"41",14,2,3,2,0,1
"42",14,2,3,3,0,1
"43",15,2,3,1,1,1
"44",15,2,3,2,0,1
"45",15,2,3,3,0,1
"46",16,2,3,1,1,1
"47",16,2,3,2,0,1
"48",16,2,3,3,0,1
"49",17,2,3,1,0,1
"50",17,2,3,2,2,1
"51",17,2,3,3,0,1
"52",18,2,3,1,0,0
"53",18,2,3,2,0,0
"54",18,2,3,3,0,0
"55",19,2,3,1,0,1
"56",19,2,3,2,0,1
"57",19,2,3,3,30,1
"58",20,2,3,1,0,1
"59",20,2,3,2,1,1
"60",20,2,3,3,5,1
"61",21,1,3,1,0,0
"62",21,1,3,2,0,0
"63",21,1,3,3,0,0
"64",22,1,3,1,0,1
"65",22,1,3,2,1,1
"66",22,1,3,3,0,1
"67",23,1,3,1,0,0
"68",23,1,3,2,0,0
"69",23,1,3,3,0,0
"70",24,1,3,1,0,0
"71",24,1,3,2,0,0
"72",24,1,3,3,0,0
"73",25,1,3,1,0,0
"74",25,1,3,2,0,0
"75",25,1,3,3,0,0
"76",26,1,3,1,0,1
"77",26,1,3,2,1,1
"78",26,1,3,3,0,1
"79",27,1,3,1,0,1
"80",27,1,3,2,0,1
"81",27,1,3,3,5,1
"82",28,1,3,1,0,1
"83",28,1,3,2,0,1
"84",28,1,3,3,1,1
"85",29,1,3,1,0,0
