plant,date,site,town,species,leaf1,leaf2,leaf3
1,27-Aug-18,1,Y,T_officinale,10,0,2
2,27-Aug-18,1,Y,T_officinale,1,0,1
3,27-Aug-18,1,Y,T_officinale,0,0,0
4,27-Aug-18,1,Y,T_officinale,0,0,0
5,27-Aug-18,1,Y,T_officinale,0,3,20
6,27-Aug-18,1,Y,T_officinale,0,0,0
7,27-Aug-18,1,Y,T_officinale,0,0,0
8,27-Aug-18,1,Y,T_officinale,0,0,0
9,27-Aug-18,1,Y,T_officinale,0,0,0
10,27-Aug-18,1,Y,T_officinale,0,0,0
11,27-Aug-18,1,Y,T_officinale,1,0,0
12,27-Aug-18,1,Y,T_officinale,0,0,0
13,27-Aug-18,1,Y,T_officinale,1,1,1
14,27-Aug-18,1,Y,T_officinale,1,0,0
15,27-Aug-18,1,Y,T_officinale,1,0,0
16,27-Aug-18,1,Y,T_officinale,1,0,0
17,27-Aug-18,1,Y,T_officinale,0,2,0
18,27-Aug-18,1,Y,T_officinale,0,0,0
19,27-Aug-18,1,Y,T_officinale,0,0,30
20,27-Aug-18,1,Y,T_officinale,0,1,5
1,27-Aug-18,1,Y,T_lacerum,0,0,0
2,27-Aug-18,1,Y,T_lacerum,0,1,0
3,27-Aug-18,1,Y,T_lacerum,0,0,0
4,27-Aug-18,1,Y,T_lacerum,0,0,0
5,27-Aug-18,1,Y,T_lacerum,0,0,0
6,27-Aug-18,1,Y,T_lacerum,0,1,0
7,27-Aug-18,1,Y,T_lacerum,0,0,5
8,27-Aug-18,1,Y,T_lacerum,0,0,1
9,27-Aug-18,1,Y,T_lacerum,0,0,0
10,27-Aug-18,1,Y,T_lacerum,1,0,1
11,27-Aug-18,1,Y,T_lacerum,0,0,1
12,27-Aug-18,1,Y,T_lacerum,0,0,0
13,27-Aug-18,1,Y,T_lacerum,0,0,0
14,27-Aug-18,1,Y,T_lacerum,0,0,0
15,27-Aug-18,1,Y,T_lacerum,0,0,0
16,27-Aug-18,1,Y,T_lacerum,0,0,0
17,27-Aug-18,1,Y,T_lacerum,0,0,0
18,27-Aug-18,1,Y,T_lacerum,0,0,0
19,27-Aug-18,1,Y,T_lacerum,0,0,0
20,27-Aug-18,1,Y,T_lacerum,0,0,0
1,27-Aug-18,2,Y,T_officinale,0,1,1
2,27-Aug-18,2,Y,T_officinale,0,0,8
3,27-Aug-18,2,Y,T_officinale,0,0,0
4,27-Aug-18,2,Y,T_officinale,0,1,0
5,27-Aug-18,2,Y,T_officinale,0,0,0
6,27-Aug-18,2,Y,T_officinale,1,0,1
7,27-Aug-18,2,Y,T_officinale,0,0,10
8,27-Aug-18,2,Y,T_officinale,0,0,20
9,27-Aug-18,2,Y,T_officinale,0,1,4
10,27-Aug-18,2,Y,T_officinale,0,0,0
11,27-Aug-18,2,Y,T_officinale,1,0,10
12,27-Aug-18,2,Y,T_officinale,0,10,25
13,27-Aug-18,2,Y,T_officinale,0,0,0
14,27-Aug-18,2,Y,T_officinale,0,0,0
15,27-Aug-18,2,Y,T_officinale,0,0,0
16,27-Aug-18,2,Y,T_officinale,1,1,2
17,27-Aug-18,2,Y,T_officinale,0,1,0
18,27-Aug-18,2,Y,T_officinale,0,0,0
19,27-Aug-18,2,Y,T_officinale,0,0,0
20,27-Aug-18,2,Y,T_officinale,0,2,0
1,27-Aug-18,2,Y,T_lacerum,1,1,0
2,27-Aug-18,2,Y,T_lacerum,0,0,2
3,27-Aug-18,2,Y,T_lacerum,0,1,0
4,27-Aug-18,2,Y,T_lacerum,0,0,0
5,27-Aug-18,2,Y,T_lacerum,1,0,0
6,27-Aug-18,2,Y,T_lacerum,0,1,1
7,27-Aug-18,2,Y,T_lacerum,0,0,0
8,27-Aug-18,2,Y,T_lacerum,0,0,0
9,27-Aug-18,2,Y,T_lacerum,1,0,10
10,27-Aug-18,2,Y,T_lacerum,1,3,1
11,27-Aug-18,2,Y,T_lacerum,0,0,0
12,27-Aug-18,2,Y,T_lacerum,1,0,0
13,27-Aug-18,2,Y,T_lacerum,0,0,0
14,27-Aug-18,2,Y,T_lacerum,0,0,3
15,27-Aug-18,2,Y,T_lacerum,0,0,3
16,27-Aug-18,2,Y,T_lacerum,5,1,1
17,27-Aug-18,2,Y,T_lacerum,0,5,1
18,27-Aug-18,2,Y,T_lacerum,0,0,0
19,28-Aug-18,2,Y,T_lacerum,0,0,0
20,27-Aug-18,2,Y,T_lacerum,0,1,3
1,28-Aug-18,2,Y,T_ceratophorum,0,0,0
2,28-Aug-18,2,Y,T_ceratophorum,0,1,0
3,28-Aug-18,2,Y,T_ceratophorum,0,0,0
4,28-Aug-18,2,Y,T_ceratophorum,1,1,0
5,28-Aug-18,2,Y,T_ceratophorum,1,1,1
6,28-Aug-18,2,Y,T_ceratophorum,1,0,0
7,28-Aug-18,2,Y,T_ceratophorum,1,0,0
8,28-Aug-18,2,Y,T_ceratophorum,0,1,0
9,28-Aug-18,2,Y,T_ceratophorum,0,0,0
10,28-Aug-18,2,Y,T_ceratophorum,1,1,0
11,28-Aug-18,2,Y,T_ceratophorum,0,1,0
12,28-Aug-18,2,Y,T_ceratophorum,2,1,0
13,28-Aug-18,2,Y,T_ceratophorum,2,0,0
14,28-Aug-18,2,Y,T_ceratophorum,0,1,1
15,28-Aug-18,2,Y,T_ceratophorum,0,0,1
16,28-Aug-18,2,Y,T_ceratophorum,5,0,1
17,28-Aug-18,2,Y,T_ceratophorum,0,12,2
18,28-Aug-18,2,Y,T_ceratophorum,1,1,1
19,28-Aug-18,2,Y,T_ceratophorum,0,0,1
20,28-Aug-18,2,Y,T_ceratophorum,1,0,1
1,27-Aug-18,3,Y,T_officinale,0,0,0
2,27-Aug-18,3,Y,T_officinale,1,1,0
3,27-Aug-18,3,Y,T_officinale,0,0,0
4,27-Aug-18,3,Y,T_officinale,2,20,1
5,27-Aug-18,3,Y,T_officinale,1,0,0
6,28-Aug-18,3,Y,T_officinale,0,1,1
7,27-Aug-18,3,Y,T_officinale,0,0,0
8,27-Aug-18,3,Y,T_officinale,1,0,15
9,27-Aug-18,3,Y,T_officinale,0,0,3
10,27-Aug-18,3,Y,T_officinale,0,0,0
11,27-Aug-18,3,Y,T_officinale,0,0,1
12,28-Aug-18,3,Y,T_officinale,0,2,4
13,27-Aug-18,3,Y,T_officinale,0,0,0
14,27-Aug-18,3,Y,T_officinale,1,0,0
15,27-Aug-18,3,Y,T_officinale,1,0,20
16,27-Aug-18,3,Y,T_officinale,0,1,0
17,27-Aug-18,3,Y,T_officinale,0,0,0
18,27-Aug-18,3,Y,T_officinale,0,0,0
19,27-Aug-18,3,Y,T_officinale,0,0,1
20,27-Aug-18,3,Y,T_officinale,4,1,3
1,28-Aug-18,3,Y,T_lacerum,2,0,1
2,27-Aug-18,3,Y,T_lacerum,0,0,0
3,30-Aug-18,3,Y,T_lacerum,0,0,1
4,27-Aug-18,3,Y,T_lacerum,0,0,0
5,27-Aug-18,3,Y,T_lacerum,0,0,0
6,27-Aug-18,3,Y,T_lacerum,1,3,0
7,28-Aug-18,3,Y,T_lacerum,0,2,0
8,28-Aug-18,3,Y,T_lacerum,0,0,1
9,27-Aug-18,3,Y,T_lacerum,0,0,0
10,27-Aug-18,3,Y,T_lacerum,0,0,0
11,27-Aug-18,3,Y,T_lacerum,0,0,0
12,27-Aug-18,3,Y,T_lacerum,0,0,0
13,27-Aug-18,3,Y,T_lacerum,0,0,1
14,27-Aug-18,3,Y,T_lacerum,0,0,0
15,27-Aug-18,3,Y,T_lacerum,1,0,3
16,27-Aug-18,3,Y,T_lacerum,1,0,0
17,27-Aug-18,3,Y,T_lacerum,0,0,0
18,27-Aug-18,3,Y,T_lacerum,3,0,0
19,27-Aug-18,3,Y,T_lacerum,1,50,0
20,27-Aug-18,3,Y,T_lacerum,1,0,0
1,27-Aug-18,4,N,T_lacerum,0,4,0
