Site,Aspect,T. officinale,T. lacerum,Soil T,,Means,To,Tl
Northern Store,SE,100,2,13.0,,NW mean,18.6,40.8
Northern Store,SW,18,1,13.7,,NE mean,15.8,15.2
Northern Store,NW,2,71,10.4,,SE mean,91,11.4
Northern Store,NE,6,28,10.6,,SW mean,86.2,34.4
Arctic Trading Post,SE,35,7,9.8,,,,
Arctic Trading Post,SW,65,2,9.8,,,,
Arctic Trading Post,NW,6,17,9.3,,,,
Arctic Trading Post,NE,1,0,10.0,,,,
Bayport Hotel,SE,301,14,11.8,,,,
Bayport Hotel,SW,99,64,12.8,,,,
Bayport Hotel,NW,81,75,12.0,,,,
Bayport Hotel,NE,0,18,11.6,,,,
Alliance Church,SE,9,30,,,,,
Alliance Church,SW,46,5,,,,,
Alliance Church,NW,4,11,,,,,
Alliance Church,NE,0,17,,,,,
Transient Centre,SE,10,4,,,,,
Transient Centre,SW,203,100,,,,,
Transient Centre,NW,0,30,,,,,
Transient Centre,NE,72,13,,,,,
,,,,,,,,
Apartment Block,SE,65,40,13.7,,,,
Apartment Block,SW,42,379,14.3,,,,
Apartment Block,NW,5,56,11.0,,,,
Apartment Block,NE,37,60,12.6,,,,
